"Codelist","Code","Label","ParentCode"
"business-investment-instrument-asset","N11G","Fixed assets by type of asset (gross)",""
"business-investment-instrument-asset","N116","Tranfer Costs","N11G"
"business-investment-instrument-asset","N111G","Dwellings (gross)","N11G"
"business-investment-instrument-asset","BUIS_INVEST","Business Investment","N11G"
"business-investment-instrument-asset","N112G","Other buildings and structures (gross)","BUIS_INVEST"
"business-investment-instrument-asset","N115G","Cultivated biological resources (gross)","BUIS_INVEST"
"business-investment-instrument-asset","N11MG","Machinery and equipment and weapons systems (gross)","BUIS_INVEST"
"business-investment-instrument-asset","N1131G","Transport equipment (gross)","N11MG"
"business-investment-instrument-asset","N1132-N1139-N114","Equipment, other machinery and equipment and weapons systems","N11MG"
"business-investment-instrument-asset","N1132G","ICT equipment (gross)","N1132-N1139-N114"
"business-investment-instrument-asset","N11321G","Computer hardware (gross)","N1132G"
"business-investment-instrument-asset","N11322G","Telecommunications equipment (gross)","N1132G"
"business-investment-instrument-asset","N11OG","Other machinery and equipment and weapons systems (gross)","N1132-N1139-N114"
"business-investment-instrument-asset","N117G","Intellectual property products (gross)","BUIS_INVEST"
"business-investment-instrument-asset","N1171G","Research and development (gross)","N117G"
"business-investment-instrument-asset","N1173G","Computer software and databases (gross)","N117G"
